Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice;29039 - Índice de Commodities - Brasil - Energia (em US Dólares) - Índice;29040 - Índice de Commodities - Brasil - Metal (em US Dólares) - Índice;29041 - Índice de Commodities - Brasil - Agropecuária (em US Dólares) - Índice;29042 - Índice de Commodities - Brasil (em US Dólares) - Índice;29601 - Índice de Atividade Econômica do Banco Central (IBC-Br) Agropecuária - Índice
05/2021;96,19150 ;97,27805 ;66,10 ;208,05 ;151,46 ;145,09 ;83,69144
06/2021;96,45711 ;96,82534 ;72,48 ;207,59 ;150,93 ;147,02 ;87,10466
07/2021;99,91641 ;96,48687 ;77,10 ;210,66 ;154,04 ;151,02 ;107,02615
08/2021;99,30067 ;97,08547 ;77,17 ;210,93 ;157,75 ;153,32 ;87,08744
09/2021;97,12872 ;96,98888 ;87,12 ;211,44 ;156,20 ;156,16 ;66,99419
10/2021;96,50704 ;97,44405 ;99,65 ;223,27 ;161,15 ;165,53 ;56,62155
11/2021;97,79362 ;98,96998 ;87,76 ;220,14 ;167,57 ;164,48 ;61,53801
12/2021;99,18551 ;99,11760 ;79,62 ;221,40 ;165,81 ;160,55 ;70,04046
01/2022;91,92328 ;97,57874 ;88,49 ;234,88 ;170,02 ;168,92 ;67,86434
02/2022;95,65889 ;98,59330 ;98,85 ;245,50 ;179,06 ;178,54 ;134,24618
03/2022;104,68858 ;99,54551 ;129,99 ;261,20 ;183,34 ;194,52 ;180,15610
04/2022;100,16982 ;99,72445 ;134,55 ;258,50 ;191,50 ;201,43 ;159,33179
05/2022;99,77589 ;99,73677 ;143,25 ;224,55 ;191,38 ;199,34 ;90,54286
06/2022;99,26554 ;99,57525 ;147,30 ;209,21 ;183,64 ;193,83 ;96,87793
07/2022;104,00469 ;101,47081 ;140,68 ;180,51 ;167,82 ;177,85 ;124,63817
08/2022;104,55098 ;101,07446 ;143,94 ;186,23 ;174,94 ;184,29 ;93,43254
09/2022;101,12930 ;101,06116 ;132,35 ;168,68 ;176,44 ;178,54 ;70,54032
10/2022;100,03891 ;101,32107 ;121,65 ;165,56 ;172,35 ;171,83 ;56,94075
11/2022;98,94578 ;100,49463 ;117,06 ;174,84 ;175,11 ;173,24 ;59,79652
12/2022;99,84833 ;100,16838 ;108,05 ;188,77 ;172,36 ;170,37 ;65,63251
01/2023;95,33411 ;100,25354 ;92,33 ;201,40 ;174,28 ;167,31 ;77,09455
02/2023;98,66272 ;103,28361 ;84,24 ;193,50 ;178,60 ;165,51 ;174,82038
03/2023;110,75569 ;102,97768 ;81,31 ;183,59 ;172,73 ;159,69 ;239,67767
04/2023;103,93224 ;104,40281 ;84,33 ;188,82 ;178,14 ;164,90 ;215,95432
05/2023;102,77692 ;102,58371 ;76,60 ;181,47 ;173,65 ;158,44 ;100,01177
06/2023;102,19490 ;102,44854 ;77,08 ;181,57 ;178,18 ;161,43 ;101,69330
07/2023;105,39057 ;102,92029 ;80,70 ;185,19 ;182,94 ;166,23 ;129,56611
08/2023;106,08838 ;102,48362 ;85,95 ;178,89 ;183,24 ;167,38 ;94,78536
09/2023;101,78629 ;102,42154 ;92,40 ;179,76 ;187,55 ;172,38 ;69,38503
10/2023;101,94169 ;102,67134 ;92,25 ;174,76 ;184,46 ;169,77 ;57,94115
11/2023;101,61864 ;103,51876 ;85,57 ;177,43 ;182,20 ;166,43 ;60,95418
12/2023;101,62810 ;104,41349 ;78,82 ;177,73 ;175,55 ;160,03 ;67,48947
01/2024;99,37311 ;104,46662 ;78,35 ;178,32 ;176,82 ;160,77 ;78,79869
02/2024;102,27645 ;104,96335 ;77,13 ;177,42 ;185,99 ;165,81 ;157,36901
03/2024;109,77704 ;104,64568 ;81,94 ;184,29 ;187,56 ;169,49 ;212,91955
04/2024;109,29837 ;105,39019 ;85,73 ;205,02 ;188,51 ;174,23 ;194,67597
05/2024;104,71120 ;105,77643 ;83,54 ;216,18 ;184,37 ;172,47 ;101,12029
06/2024;105,80196 ;106,66194 ;84,44 ;209,87 ;186,85 ;173,49 ;106,70980
07/2024;111,64948 ;107,08324 ;82,18 ;205,86 ;184,64 ;170,84 ;136,89480
08/2024;110,15049 ;107,21232 ;80,11 ;202,34 ;179,50 ;166,57 ;99,29774
09/2024;107,13101 ;107,92954 ;76,74 ;207,45 ;185,26 ;169,66 ;76,31423
10/2024;109,17928 ;107,96957 ;80,30 ;217,60 ;189,17 ;174,84 ;63,97798
11/2024;105,39942 ;107,84368 ;79,75 ;208,78 ;193,27 ;175,99 ;66,28793
12/2024;104,10131 ;106,76943 ;78,52 ;205,98 ;199,24 ;178,78 ;73,58510
01/2025;102,91442 ;108,32534 ;82,10 ;206,14 ;203,94 ;182,97 ;87,96266
02/2025;106,85842 ;109,01230 ;80,93 ;214,67 ;202,31 ;182,79 ;189,47551
03/2025;113,93961 ;109,77021 ;79,81 ;222,63 ;192,57 ;177,50 ;261,14671
04/2025;112,29851 ;110,25274 ;73,87 ;208,48 ;195,34 ;175,05 ;232,43757
05/2025;108,46495 ;109,00458 ;73,24 ;211,61 ;198,17 ;176,96 ;111,15718
06/2025;107,22845 ;108,79272 ;78,02 ;218,26 ;196,35 ;178,44 ;112,97105
07/2025;112,98350 ;108,22321 ;76,65 ;224,65 ;194,74 ;177,97 ;143,29314
08/2025;110,28542 ;108,65847 ;73,33 ;225,89 ;199,11 ;179,72 ;103,13827
Fonte;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec
